Data from T1_Reflection__140__00-08-45-060.txt Node

Date: Thu Jun 03 00:08:45 CEST 2021
User: mabdelazizm
Spectrometer: FLMS18565
Trigger mode: 0
Integration Time (sec): 2.000000E0
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 12
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
179.071	43.56
179.452	22.53
179.833	12.29
180.214	10.91
180.595	-628.97
180.977	-365.04
181.358	-211.75
181.739	-558.82
182.12	-118.69
182.501	-63.42
182.882	27.96
183.262	-6.67
183.643	5.54
184.024	26.6
184.405	26.47
184.786	36.18
185.166	32.15
185.547	29.77
185.927	13.89
186.308	15.6
186.689	21.53
187.069	15.87
187.449	11.22
187.83	7.99
188.21	6.42
188.59	7.24
188.971	10.78
189.351	11.91
189.731	12.91
190.111	16.53
190.491	17.79
190.871	16.25
191.251	16.84
191.631	15.42
192.011	13.4
192.391	12.34
192.771	13.95
193.151	14.02
193.531	12.12
193.91	11.77
194.29	10.4
194.67	8.7
195.049	7.9
195.429	8.93
195.808	9.06
196.188	8.32
196.567	8.05
196.946	8.84
197.326	8.71
197.705	8.95
198.084	9.11
198.464	8.86
198.843	7.36
199.222	6.75
199.601	5.34
199.98	4.8
200.359	4.98
200.738	6.63
201.117	6.03
201.496	6.44
201.875	5.67
202.254	5.55
202.632	4.86
203.011	5.25
203.39	4.76
203.768	5.67
204.147	7.43
204.525	7.39
204.904	7.47
205.282	6.3
205.661	5.68
206.039	6.9
206.418	7.09
206.796	7.84
207.174	7.82
207.552	8.09
207.931	7.97
208.309	9.35
208.687	9.2
209.065	10.16
209.443	9.21
209.821	8.9
210.199	7.34
210.577	7
210.954	7.32
211.332	7.1
211.71	6.85
212.088	6.8
212.465	6.87
212.843	7.06
213.221	5.74
213.598	6.13
213.976	6.21
214.353	6.5
214.731	6.74
215.108	6.18
215.485	5.01
215.863	4.97
216.24	4.5
216.617	4.98
216.994	4.73
